scenario,episode_id,task_id,agent_id,t_arrival_slot,t_arrival_time,b_mb,rho_cyc_per_mb,c_cycles,mem_mb,modality,has_deadline,deadline_s,deadline_time,non_atomic,split_ratio,action_space_hint
light,0,0,1,0,0.0,2.4849672,552526140.0,1373009400.0,62.412148,video,1,1.3398931,1.3398931,1,0.42489997,continuous
light,0,1,17,0,0.0,2.5099616,1082130400.0,2716105700.0,74.606,text,0,,,0,0.0,discrete
light,0,2,17,7,7.0,1.5093166,1757732200.0,2652974300.0,30.173971,text,0,,,1,0.3581615,continuous
light,0,3,3,9,9.0,2.1143107,458252130.0,968887400.0,52.914295,image,0,,,0,0.0,discrete
light,0,4,15,13,13.0,1.7077074,657478850.0,1122781400.0,95.44115,image,0,,,0,0.0,discrete
light,0,5,15,14,14.0,1.4857169,1174733600.0,1745321700.0,39.905807,sensor,0,,,0,0.0,discrete
light,0,6,15,16,16.0,2.833569,678931650.0,1923799700.0,55.550793,image,0,,,1,0.7356289,continuous
light,0,7,3,17,17.0,2.0766704,866147300.0,1798702600.0,60.03052,video,0,,,0,0.0,discrete
light,0,8,7,17,17.0,2.400471,732975360.0,1759486100.0,51.637135,image,0,,,1,0.70803636,continuous
light,0,9,15,17,17.0,4.1674294,734278460.0,3060053500.0,51.087597,image,1,1.6246096,18.624609,1,0.5516204,continuous
light,0,10,17,18,18.0,1.562075,763794700.0,1193104600.0,74.40094,image,0,,,0,0.0,discrete
light,0,11,14,20,20.0,2.2448246,1754085500.0,3937614600.0,58.562252,text,1,1.2782791,21.278278,0,0.0,discrete
light,0,12,15,23,23.0,5.4678917,1464654000.0,8008570000.0,77.25009,video,0,,,1,0.74848497,continuous
light,0,13,10,24,24.0,1.7849696,896670140.0,1600529000.0,113.384285,sensor,0,,,0,0.0,discrete
light,0,14,14,24,24.0,1.7110636,675115650.0,1155165800.0,49.444946,video,1,1.2011652,25.201164,0,0.0,discrete
light,0,15,12,25,25.0,1.6164724,875415800.0,1415085400.0,37.5219,text,0,,,0,0.0,discrete
